name,milleage,price,description,image
"            Hyundai Santa Fe DM [рестайлинг] Premium кроссовер , 2016 ",132000 км,27500$ ,"                                    Кроссовер,                                        серый,                                        2.2 л.,                                        левый руль,                                        дизель,                                        автомат,                                        постоянный полный,                                    ",https://i.cars.kg/preview/r/IeP3hGnx2IYW0p9fnE_f0Q/1080x-/20221103/12f5bc0d7b42dc75c796616f720a8e38.jpeg
"            BMW 5 серия F07/F10/F11 [рестайлинг] Седан , 2014 ",190000 км,21900$ ,"                                    Седан,                                        черный,                                        2 л.,                                        левый руль,                                        бензин,                                        автомат,                                        задний,                                    ",https://i.cars.kg/preview/r/GjvTq_mwF4WgL3dc-tIV6g/1080x-/20221101/318a174691b693e1be142579004c4195.jpg
"            BMW X6 F16 Sports Activity Coupe кроссовер , 2016 ",104000 км,55000$ ,"                                    Кроссовер,                                        белый жемчуг,                                        3.0 л.,                                                    бензин,                                        автомат,                                        постоянный полный,                                    ",https://i.cars.kg/preview/r/n_kT3XnQPUSgheZvzXsRfw/1080x-/20221103/47900eb07d23dc0e32a52b2096251980.jpeg
"            Honda Fit 1 поколение Хетчбэк , 2004 ",,6900$ ,"                                    Хэтчбек,                                        серебряный,                                        1.5 л.,                                        правый руль,                                        бензин,                                        вариатор,                                        передний,                                    ",https://i.cars.kg/preview/r/BLAe1KfgpZirQLfRylFDsw/1080x-/20221103/715944ab12d48e14883a8865117bbe48.jpeg
"            Toyota Land Cruiser Prado J150 [рестайлинг] Внедорожник , 2016 ",150000 км,47000$ ,"                                    Внедорожник / Пикап,                                        белый,                                        4 л.,                                        левый руль,                                        бензин,                                        автомат,                                        постоянный полный,                                    ",https://i.cars.kg/preview/r/FLeRg4MXlvCBKk6K2xkwPg/1080x-/20221102/f9892ddcee151f88e4cafb6f0278c8af.jpg
"            Lexus RX 2 поколение Кроссовер , 2004 ",,15000$ ,"                                    Кроссовер,                                        мокрый асфальт,                                        3.3 л.,                                        левый руль,                                        бензин,                                        автомат,                                        постоянный полный,                                    ",https://i.cars.kg/preview/r/GlLjPmw2T8KYhPB0aGAq2w/1080x-/20221102/bd45f925a3eba41868c92f21eeaf6aa0.jpg
"            Honda Inspire 4 поколение [рестайлинг] Седан , 2006 ",168000 км,10500$ ,"                                    Седан,                                        белый,                                        3.0 л.,                                        правый руль,                                        бензин,                                        автомат,                                        передний,                                    ",https://i.cars.kg/preview/r/2fgGtxvAMpDWsiQ34UKVKQ/1080x-/20221102/bb51339ab8a7407299204d3ca4290cfe.jpeg
"            Lexus NX , 2017 ",180000 км,35000$ ,"                                    Кроссовер,                                        золотой,                                        2500 л.,                                        левый руль,                                        гибрид,                                        вариатор,                                        постоянный полный,                                    ",https://i.cars.kg/preview/r/f-8bUN7XVyJmuLTz0iy2pg/1080x-/20221102/b833dc19465530c174380d73dc2005fc.jpg
"            Volkswagen ID 6, 2022 ",,41000$ ,"                                    Кроссовер,                                        белый жемчуг,                                                    левый руль,                                        электро,                                        автомат,                                        задний,                                    ",https://i.cars.kg/preview/r/e2uNYb_lk7g11_0XC1wseA/1080x-/20221102/89033190ab945e15a3113084a4c23e32.jpg
"            Volkswagen ID 4, 2022 ",,35000$ ,"                                    Кроссовер,                                        синий,                                                    левый руль,                                        электро,                                        автомат,                                        задний,                                    ",https://i.cars.kg/preview/r/Cf-upr-ycUf2xb46ggWfCQ/1080x-/20221102/0e99bef4f5c2dd933c4249a3d42bff97.jpg
"            Toyota Corolla E130 [рестайлинг] , 2004 ",145000 км,7500$ ,"                                    Седан,                                        белый,                                        18 л.,                                        левый руль,                                        бензин,                                        автомат,                                        передний,                                    ",https://i.cars.kg/preview/r/7f-dokKOdFS_civ7X0j3OQ/1080x-/20221102/65fcf5ef024263c5c304d8d5063683ae.jpg
"            Toyota RAV4 4 поколение Кроссовер , 2021 ",22000 км,33000$ ,"                                    Кроссовер,                                        черный,                                        2.5 л.,                                                    бензин,                                        автомат,                                        полный подключаемый,                                    ",https://i.cars.kg/preview/r/u1H2YgyroYG3ZRFqzQYmvw/1080x-/20221102/9a74a3f0c6857ac6cdbf091032a3fec9.jpg
"            Toyota Camry XV50 [рестайлинг] Седан , 2019 ",70000 км,28500$ ,"                                    Седан,                                        белый,                                        2.5 л.,                                        левый руль,                                        бензин,                                        автомат,                                        передний,                                    ",https://i.cars.kg/preview/r/CYJmUVFraDM0nio9XUBEug/1080x-/20221102/b9ea35b2de08ba506f60f9cd9c764336.jpg
